M|efConstruction|efSearch|recall@1|build_time|search_time|memory_usage
128|2|4|10|5104|189|1551286
128|2|8|10|5104|154|1551286
128|2|16|10|5104|143|1551286
128|2|32|10|5104|139|1551286
128|4|2|10|5116|146|1551286
128|4|4|10|5116|206|1551286
128|4|8|10|5116|142|1551286
128|4|16|10|5116|129|1551286
128|4|32|10|5116|143|1551286
128|8|2|10|5194|151|1551286
128|8|4|10|5194|203|1551286
128|8|8|10|5194|160|1551286
128|8|16|10|5194|144|1551286
128|8|32|10|5194|136|1551286
128|16|2|10|5321|141|1551286
128|16|4|10|5321|157|1551286
128|16|8|10|5321|132|1551286
128|16|16|10|5321|161|1551286
128|16|32|10|5321|130|1551286
128|32|2|10|4967|142|1551286
128|32|4|10|4967|157|1551286
128|32|8|10|4967|136|1551286
128|32|16|10|4967|144|1551286
128|32|32|10|4967|154|1551286
256|2|2|10|7425|139|2575274
256|2|4|10|7425|153|2575274
256|2|8|10|7425|142|2575274
256|2|16|10|7425|131|2575274
256|2|32|10|7425|142|2575274
256|4|2|10|6211|180|2575274
256|4|4|10|6211|147|2575274
256|4|8|10|6211|186|2575274
256|4|16|10|6211|172|2575274
256|4|32|10|6211|167|2575274
256|8|2|10|6668|178|2575274
256|8|4|10|6668|152|2575274
256|8|8|10|6668|169|2575274
256|8|16|10|6668|145|2575274
256|8|32|10|6668|141|2575274
256|16|2|10|6068|134|2575274
256|16|4|10|6068|132|2575274
256|16|8|10|6068|146|2575274
256|16|16|10|6068|149|2575274
256|16|32|10|6068|131|2575274
256|32|2|10|6614|187|2575274
256|32|4|10|6614|163|2575274
256|32|8|10|6614|165|2575274
256|32|16|10|6614|180|2575274
256|32|32|10|6614|169|2575274
512|2|2|10|9014|194|4624298
512|2|4|10|9014|165|4624298
512|2|8|10|9014|160|4624298
512|2|16|10|9014|164|4624298
512|2|32|10|9014|140|4624298
512|4|2|10|8549|159|4624298
512|4|4|10|8549|170|4624298
512|4|8|10|8549|153|4624298
512|4|16|10|8549|177|4624298
512|4|32|10|8549|169|4624298
512|8|2|10|8743|151|4624298
512|8|4|10|8743|155|4624298
512|8|8|10|8743|136|4624298
512|8|16|10|8743|137|4624298
512|8|32|10|8743|145|4624298
512|16|2|10|8542|160|4624298
512|16|4|10|8542|166|4624298
512|16|8|10|8542|152|4624298
512|16|16|10|8542|147|4624298
512|16|32|10|8542|132|4624298
512|32|2|10|8544|163|4624298
512|32|4|10|8544|171|4624298
512|32|8|10|8544|135|4624298
512|32|16|10|8544|132|4624298
512|32|32|10|8544|138|4624298
